# function=Пилообразная f(x)=x N=20 FFT_points=512
x,f_x,fourier_sum,ifft_restored,error_fourier,error_ifft
0.50995793,0.16232465,0.17611881,0.16005448,0.01379416,0.00227017
0.52254948,0.16633267,0.18178348,0.16405467,0.01545082,0.00227799
0.53514103,0.17034068,0.18642753,0.16805486,0.01608685,0.00228582
0.54773259,0.17434870,0.19000527,0.17205505,0.01565657,0.00229365
0.56032414,0.17835671,0.19254152,0.17605524,0.01418481,0.00230148
0.57291569,0.18236473,0.19413018,0.18005542,0.01176545,0.00230931
0.58550725,0.18637275,0.19492829,0.18405561,0.00855554,0.00231713
0.59809880,0.19038076,0.19514583,0.18805580,0.00476507,0.00232496
0.61069036,0.19438878,0.19503207,0.19205599,0.00064329,0.00233279
0.62328191,0.19839679,0.19485920,0.19605617,0.00353759,0.00234062
0.63587346,0.20240481,0.19490441,0.20005636,0.00750040,0.00234845
0.64846502,0.20641283,0.19543156,0.20405655,0.01098126,0.00235628
0.66105657,0.21042084,0.19667367,0.20805674,0.01374717,0.00236410
0.67364812,0.21442886,0.19881735,0.21205693,0.01561150,0.00237193
0.68623968,0.21843687,0.20199029,0.21605711,0.01644658,0.00237976
0.69883123,0.22244489,0.20625250,0.22005730,0.01619239,0.00238759
0.71142279,0.22645291,0.21159207,0.22405749,0.01486083,0.00239542
0.72401434,0.23046092,0.21792562,0.22805768,0.01253530,0.00240324
0.73660589,0.23446894,0.22510349,0.23205787,0.00936544,0.00241107
0.74919745,0.23847695,0.23291933,0.23605805,0.00555762,0.00241890
0.76178900,0.24248497,0.24112350,0.24005824,0.00136147,0.00242673
0.77438055,0.24649299,0.24943935,0.24405843,0.00294637,0.00243456
0.78697211,0.25050100,0.25758147,0.24805862,0.00708047,0.00244238
0.79956366,0.25450902,0.26527446,0.25205881,0.01076544,0.00245021
0.81215522,0.25851703,0.27227128,0.25605899,0.01375425,0.00245804
0.82474677,0.26252505,0.27836972,0.26005918,0.01584467,0.00246587
0.83733832,0.26653307,0.28342605,0.26405937,0.01689299,0.00247370
0.84992988,0.27054108,0.28736485,0.26805956,0.01682377,0.00248153
0.86252143,0.27454910,0.29018438,0.27205974,0.01563529,0.00248935
0.87511298,0.27855711,0.29195713,0.27605993,0.01340002,0.00249718
0.88770454,0.28256513,0.29282542,0.28006012,0.01026028,0.00250501
0.90029609,0.28657315,0.29299239,0.28406031,0.00641925,0.00251284
0.91288764,0.29058116,0.29270895,0.28806050,0.00212779,0.00252067
0.92547920,0.29458918,0.29225738,0.29206068,0.00233180,0.00252849
0.93807075,0.29859719,0.29193288,0.29606087,0.00666431,0.00253632
